"date","post_url","doc_id","file","status"
"2024-10-13","https://vk.com/wall-141369129_996","3435682_681412744","Protokol_2.1_ot_06_10_2024.doc","ok"
"2019-07-23","https://vk.com/wall-141369129_533","8120024_509049408","Protokol_114_ot_07_jul_2019.doc","ok"
"2019-07-23","https://vk.com/wall-141369129_533","8120024_509049413","Protokol_115_ot_14_jul_2019.doc","ok"
"2019-07-23","https://vk.com/wall-141369129_533","8120024_509049415","Protokol_116_ot_21_jul_2019.doc","ok"
"2019-07-05","https://vk.com/wall-141369129_530","3435682_508546408","Protokol_112_ot_23_jun_2019.doc","ok"
"2019-07-05","https://vk.com/wall-141369129_530","3435682_508546411","Protokol_113_ot_30_jun_2019.doc","ok"
"2019-06-16","https://vk.com/wall-141369129_524","3435682_506324906","Protokol_110_ot_09.06.2019.doc","ok"
"2019-06-16","https://vk.com/wall-141369129_524","3435682_506324907","Protokol_111_ot_16.06.2019.doc","ok"
"2019-06-04","https://vk.com/wall-141369129_518","3435682_504837808","Protokol_109_ot_02.06.2019.doc","ok"
"2019-05-19","https://vk.com/wall-141369129_513","3435682_502815828","Protokol_107_ot_12_may_2019.doc","ok"
"2019-05-19","https://vk.com/wall-141369129_512","3435682_502815727","Protokol_106_ot_05_may_2019.doc","ok"
"2019-04-28","https://vk.com/wall-141369129_506","3435682_500430434","Protokol__105_ot_28_apr_2019.doc","ok"
"2019-04-28","https://vk.com/wall-141369129_506","3435682_500430438","Соревнование (итог).xlsx","ok"
"2019-04-22","https://vk.com/wall-141369129_505","3435682_499666092","Protokol_104_ot_21_apr_2019.doc","ok"
"2019-04-22","https://vk.com/wall-141369129_505","3435682_499666108","Соревнование (22.04.2019).xlsx","ok"
"2019-04-15","https://vk.com/wall-141369129_504","3435682_498921266","Protokol__100_ot_24_marta_2019.doc","ok"
"2019-04-15","https://vk.com/wall-141369129_504","3435682_498921267","Protokol__101_ot_31_marta_2019.doc","ok"
"2019-04-15","https://vk.com/wall-141369129_504","3435682_498921269","Protokol__102_ot_07_apr_2019.doc","ok"
"2019-04-15","https://vk.com/wall-141369129_504","3435682_498921274","Protokol__103_ot_14_apr_2019.doc","ok"
"2019-04-15","https://vk.com/wall-141369129_504","3435682_498921275","Соревнование (14.04.2019).xlsx","ok"
"2019-03-17","https://vk.com/wall-141369129_501","3435682_495506294","Protokol__99_ot_17_marta_2019.doc","ok"
"2019-03-17","https://vk.com/wall-141369129_501","3435682_495506295","Соревнование (17.03.2019).xlsx","ok"
"2019-03-17","https://vk.com/wall-141369129_499","3435682_495417006","Протокол № 98 от 10 марта 2019.docx","ok"
"2019-03-17","https://vk.com/wall-141369129_499","3435682_495417007","Соревнование (16.03.2019).xlsx","ok"
"2019-03-05","https://vk.com/wall-141369129_495","142603307_493385079","Legenda_polozhenie_1.docx","ok"
"2019-03-04","https://vk.com/wall-141369129_494","3435682_493990740","Protokol__97_ot_03_marta_2019.doc","ok"
"2019-02-24","https://vk.com/wall-141369129_492","3435682_493016007","Протокол № 95 от 17 февраля 2019.docx","ok"
"2019-02-24","https://vk.com/wall-141369129_492","3435682_493016010","Протокол № 96 от 24 февраля 2019.docx","ok"
"2019-02-06","https://vk.com/wall-141369129_490","3435682_490922333","Протокол № 94 от 03 февраля 2019.docx","ok"
"2019-01-22","https://vk.com/wall-141369129_485","3435682_489083187","Протокол № 93 от 20 января 2019.docx","ok"
"2018-12-28","https://vk.com/wall-141369129_479","3435682_486177921","Протокол № 90 от 23 декабря 2018.docx","ok"
"2018-12-18","https://vk.com/wall-141369129_477","3435682_484885769","Протокол № 89 от 16 декабря 2018.docx","ok"
"2018-12-09","https://vk.com/wall-141369129_474","3435682_483871972","Протокол № 88 от 09 декабря 2018.docx","ok"
"2018-11-30","https://vk.com/wall-141369129_472","3435682_482890285","Протокол № 86 от 18 ноября 2018.docx","ok"
"2018-11-30","https://vk.com/wall-141369129_472","3435682_482890288","Протокол № 87 от 25 ноября 2018.docx","ok"
"2018-11-11","https://vk.com/wall-141369129_471","3435682_480851906","Протокол № 85 от 11 ноября 2018.docx","ok"
"2018-10-29","https://vk.com/wall-141369129_469","3435682_479472741","Протокол № 83 от 28 октября 2018.docx","ok"
"2018-09-23","https://vk.com/wall-141369129_465","3435682_475679815","Протокол № 80 от 23 сентября 2018.docx","ok"
"2018-09-16","https://vk.com/wall-141369129_462","3435682_475015647","Протокол № 79 от 16 сентября 2018.docx","ok"
